"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_SPECIMEN_SOURCE"|"PCORI_BASECODE"|"OMOP_SOURCECODE"
2|"\PCORI\LAB_RESULT_CM\LAB_LOINC\"|"LOINC (NELexicon)"|"N"|"FAE"|0|""|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\"|"CDMv2"|"Logical Observation Identifiers, Names, and Codes (LOINC) from the Regenstrief Institute. Results with local versions of LOINC codes (e.g., LOINC candidate codes) should be included in the RAW_ table field, but the LOINC variable should be set to missing. Current LOINC codes are from 3-7 characters long but Regenstrief suggests a length of 10 for future growth. The last digit of the LOINC code is a check digit and is always preceded by a hyphen. All parts of the LOINC code, including the hyphen, must be included. Do not pad the LOINC code with leading zeros. Please see the LOINC reference table for known LOINC codes for each LAB_NAME."|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|""||"\PCORI\LAB_RESULT_CM\"|"LAB_LOINC"|""|""|
3|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\"|"Clinical laboratory observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\"||" Clinical laboratory observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
3|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\"|"Molecular pathology observable (observable entity)   "|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\"||" Molecular pathology observable (observable entity)   "|"@"||||"NELexicon 20180329"|||||||
3|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\"|"Anatomic pathology observable (observable entity)   "|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\"||" Anatomic pathology observable (observable entity)   "|"@"||||"NELexicon 20180329"|||||||
3|"\PCORI\LAB_RESULT_CM\LAB_LOINC\364708003\"|"Sample observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\364708003\"||" Sample observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\351001000004108\"|"Prostate specific Ag (Presence) in Tissue by Immune stain (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\351001000004108\"||" Molecular pathology observable (observable entity)   , Prostate specific Ag (Presence) in Tissue by Immune stain (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5830001000004100\"|"Allergy clinical laboratory observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5830001000004100\"||" Clinical laboratory observable (observable entity), Allergy clinical laboratory observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\"|"Toxicology laboratory observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\"|"Coagulation laboratory observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\"||" Clinical laboratory observable (observable entity), Coagulation laboratory observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364684009\"|"Body product observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364684009\"||" Clinical laboratory observable (observable entity), Body product observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
