"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_BASECODE"
3|"\PCORI\ENCOUNTER\Age at visit\>= 85 years old\"|"Visit at age >= 85 years old"|"N"|"FAE"||||"encounter_num"|"visit_dimension"|"start_date"|"N"|">="|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 85)-1)"||"Encounter \ Age at visit \ >= 85 years old"|"@"|2010/08/18 10:59:52 AM|2010/07/14 09:58:40 AM|2010/07/14 09:58:40 AM|"lcp5"|||"\PCORI\ENCOUNTER\Age at visit\"|">= 85 years old"|
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\82\"|" Visit at age 82 years old"|"N"|"LAE"||"DEM|AGE:82"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 82)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 83)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 82 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"82"|"82"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\83\"|" Visit at age 83 years old"|"N"|"LAE"||"DEM|AGE:83"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 83)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 84)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 83 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"83"|"83"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\84\"|" Visit at age 84 years old"|"N"|"LAE"||"DEM|AGE:84"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 84)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 85)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 84 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"84"|"84"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\85\"|" Visit at age 85 years old"|"N"|"LAE"||"DEM|AGE:85"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 85)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 86)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 85 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"85"|"85"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\86\"|" Visit at age 86 years old"|"N"|"LAE"||"DEM|AGE:86"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 86)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 87)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 86 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"86"|"86"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\87\"|" Visit at age 87 years old"|"N"|"LAE"||"DEM|AGE:87"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 87)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 88)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 87 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"87"|"87"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\88\"|" Visit at age 88 years old"|"N"|"LAE"||"DEM|AGE:88"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 88)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 89)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 88 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"88"|"88"
4|"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\89\"|" Visit at age 89 years old"|"N"|"LAE"||"DEM|AGE:89"||"encounter_num"|"visit_dimension"|"start_date"|"N"|"BETWEEN"|"((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 89)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 90)-1)"||"Encounter \ Age at visit \ >= 65 years old \ 89 years old"|"@"|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|2007/04/10 12:00:00 AM|"DEM2FACT CONVERT"|||"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\"|"89"|"89"
2|"\PCORI\ENCOUNTER\Age at visit\"|"Age at visit"|"N"|"CAE"||||"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"LIKE"|"\PCORI\ENCOUNTER\Age at visit\"||"The age-at-visit tree comes from the i2b2 demo ontology. It dynamically calculates patient age at visit based on encounter date and birth date."|"@"|2010/08/18 10:59:52 AM|2010/07/14 09:58:40 AM|2010/07/14 09:58:40 AM|"lcp5"|||"\PCORI\ENCOUNTER\"|"Age at visit"|
