"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_BASECODE"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\12 months old\"|"12 months old"|"N"|"LAE"||"DEM|AGE:12mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*13) AND SYSDATE - (30.4375*12)"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 12 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\"|"12 months old"|"DEM|AGE:12mo"
6|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\2 months old\73 days old\"|"73 days old"|"N"|"LAE"||"DEM|AGE:73day"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - 74 AND SYSDATE - 73"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 2 months old \ 73 days old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\2 months old\"|"73 days old"|"DEM|AGE:73day"
6|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\0 months old\25 days old\"|"25 days old"|"N"|"LAE"||"DEM|AGE:25day"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - 26 AND SYSDATE - 25"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 0 months old \ 25 days old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\0 months old\"|"25 days old"|"DEM|AGE:25day"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\102\"|" 102 years old"|"N"|"LIE"||"DEM|AGE:102"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 * 103) AND SYSDATE - (365.25 * 102) "|""|"Demographics \ Age \ >= 85 years old \ 102 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"102"|"DEM|AGE:102"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\104\"|" 104 years old"|"N"|"LIE"||"DEM|AGE:104"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 * 105) AND SYSDATE - (365.25 * 104) "|""|"Demographics \ Age \ >= 85 years old \ 104 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"104"|"DEM|AGE:104"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\105\"|" 105 years old"|"N"|"LIE"||"DEM|AGE:105"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 * 106) AND SYSDATE - (365.25 * 105) "|""|"Demographics \ Age \ >= 85 years old \ 105 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"105"|"DEM|AGE:105"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\106\"|" 106 years old"|"N"|"LIE"||"DEM|AGE:106"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *107) AND SYSDATE - (365.25 * 106) "|""|"Demographics \ Age \ >= 85 years old \ 106 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"106"|"DEM|AGE:106"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\107\"|" 107 years old"|"N"|"LIE"||"DEM|AGE:107"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *108) AND SYSDATE - (365.25 * 107) "|""|"Demographics \ Age \ >= 85 years old \ 107 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"107"|"DEM|AGE:107"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\24 years old\"|"24 years old"|"N"|"LAE"||"DEM|AGE:24"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *25) AND SYSDATE - (365.25 * 24) "|""|"Demographics \ Age \ 18-34 years old \ 24 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"24 years old"|"DEM|AGE:24"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\25 years old\"|"25 years old"|"N"|"LAE"||"DEM|AGE:25"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *26) AND SYSDATE - (365.25 * 25) "|""|"Demographics \ Age \ 18-34 years old \ 25 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"25 years old"|"DEM|AGE:25"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\26 years old\"|"26 years old"|"N"|"LAE"||"DEM|AGE:26"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *27) AND SYSDATE - (365.25 * 26) "|""|"Demographics \ Age \ 18-34 years old \ 26 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"26 years old"|"DEM|AGE:26"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\27 years old\"|"27 years old"|"N"|"LAE"||"DEM|AGE:27"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *28) AND SYSDATE - (365.25 * 27) "|""|"Demographics \ Age \ 18-34 years old \ 27 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"27 years old"|"DEM|AGE:27"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\28 years old\"|"28 years old"|"N"|"LAE"||"DEM|AGE:28"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *29) AND SYSDATE - (365.25 * 28) "|""|"Demographics \ Age \ 18-34 years old \ 28 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"28 years old"|"DEM|AGE:28"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\26 months old\"|"26 months old"|"N"|"LAE"||"DEM|AGE:26mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*27) AND SYSDATE - (30.4375*26)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 26 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"26 months old"|"DEM|AGE:26mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\27 months old\"|"27 months old"|"N"|"LAE"||"DEM|AGE:27mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*28) AND SYSDATE - (30.4375*27)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 27 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"27 months old"|"DEM|AGE:27mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\28 months old\"|"28 months old"|"N"|"LAE"||"DEM|AGE:28mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*29) AND SYSDATE - (30.4375*28)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 28 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"28 months old"|"DEM|AGE:28mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\29 months old\"|"29 months old"|"N"|"LAE"||"DEM|AGE:29mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*30) AND SYSDATE - (30.4375*29)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 29 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"29 months old"|"DEM|AGE:29mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\30 months old\"|"30 months old"|"N"|"LAE"||"DEM|AGE:30mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*31) AND SYSDATE - (30.4375*30)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 30 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"30 months old"|"DEM|AGE:30mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\31 months old\"|"31 months old"|"N"|"LAE"||"DEM|AGE:31mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (30.4375*32) AND SYSDATE - (30.4375*31)"|""|"Demographics \ Age \ 0-9 years old \ 2 years old \ 31 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\2 years old\"|"31 months old"|"DEM|AGE:31mo"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\0 months old\"|"00 months old"|"N"|"FAE"||"DEM|AGE:0mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|">"|"SYSDATE - (30.4375)"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 0 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\"|"0 months old"|"DEM|AGE:0mo"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\22 years old\"|"22 years old"|"N"|"LAE"||"DEM|AGE:22"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *23) AND SYSDATE - (365.25 * 22) "|""|"Demographics \ Age \ 18-34 years old \ 22 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"22 years old"|"DEM|AGE:22"
4|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\23 years old\"|"23 years old"|"N"|"LAE"||"DEM|AGE:23"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *24) AND SYSDATE - (365.25 * 23) "|""|"Demographics \ Age \ 18-34 years old \ 23 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\18-34 years old\"|"23 years old"|"DEM|AGE:23"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\89\"|"  89 years old"|"N"|"LAE"||"DEM|AGE:89"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *90) AND SYSDATE - (365.25 * 89) "|""|"Demographics \ Age \ >= 65 years old \ 89 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"89"|"DEM|AGE:89"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\90\"|"  90 years old"|"N"|"LIE"||"DEM|AGE:90"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *91) AND SYSDATE - (365.25 * 90) "|""|"Demographics \ Age \ >= 65 years old \ 90 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"90"|"DEM|AGE:90"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\91\"|"  91 years old"|"N"|"LIE"||"DEM|AGE:91"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *92) AND SYSDATE - (365.25 * 91) "|""|"Demographics \ Age \ >= 65 years old \ 91 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"91"|"DEM|AGE:91"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\92\"|"  92 years old"|"N"|"LIE"||"DEM|AGE:92"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"SYSDATE - (365.25 *93) AND SYSDATE - (365.25 * 92) "|""|"Demographics \ Age \ >= 65 years old \ 92 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"92"|"DEM|AGE:92"
