"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_BASECODE"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\107\"|" 107 years old"|"N"|"LAE"||"DEM|AGE:107"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 * 108) AND getdate() - (365.25 * 107) "|""|"Demographics \ Age \ >= 65 years old \ 107 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"107"|"DEM|AGE:107"
4|"\PCORI\DEMOGRAPHIC\Age\75-84 years old\75 years old\"|"75 years old"|"N"|"LAE"||"DEM|AGE:75"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 *76) AND getdate() - (365.25 * 75) "|""|"Demographics \ Age \ 75-84 years old \ 75 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\75-84 years old\"|"75 years old"|"DEM|AGE:75"
5|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\8 months old\"|"08 months old"|"N"|"LAE"||"DEM|AGE:8mo"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (30.4375*9) AND getdate() - (30.4375*8)"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 8 months old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|""|""|"DEM|AGE:8mo"
6|"\PCORI\DEMOGRAPHIC\Age\0-9 years old\0 years old\1 month old\38 days old\"|"38 days old"|"N"|"LAE"||"DEM|AGE:38day"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - 39 AND getdate() - 38"|""|"Demographics \ Age \ 0-9 years old \ 0 years old \ 1 month old \ 38 days old"|"@"|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|2010/08/18 12:00:00 AM|"lcp5_jgk"|""|""|""|""|"DEM|AGE:38day"
4|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\72\"|"  72 years old"|"N"|"LAE"||"DEM|AGE:72"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 * 73) AND getdate() - (365.25 * 72) "|""|"Demographics \ Age \ >= 65 years old \ 72 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 65 years old\"|"72"|"DEM|AGE:72"
4|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\103\"|" 103 years old"|"N"|"LAE"||"DEM|AGE:103"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 * 104) AND getdate() - (365.25 * 103) "|""|"Demographics \ Age \ >= 85 years old \ 103 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"DEM2FACT CONVERT"|""|""|"\PCORI\DEMOGRAPHIC\Age\>= 85 years old\"|"103"|"DEM|AGE:103"
4|"\PCORI\DEMOGRAPHIC\Age\35-44 years old\35 years old\"|"35 years old"|"N"|"LAE"||"DEM|AGE:35"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 *36) AND getdate() - (365.25 * 35) "|""|"Demographics \ Age \ 35-44 years old \ 35 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\35-44 years old\"|"35 years old"|"DEM|AGE:35"
4|"\PCORI\DEMOGRAPHIC\Age\45-54 years old\51 year old\"|"51 years old"|"N"|"LAE"||"DEM|AGE:51"|""|"patient_num"|"patient_dimension"|"birth_date"|"N"|"BETWEEN"|"getdate() - (365.25 *52) AND getdate() - (365.25 * 51) "|""|"Demographics \ Age \ 45-54 years old \ 51 years old"|"@"|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|2010/08/18 10:59:52 AM|"lcp5"|""|""|"\PCORI\DEMOGRAPHIC\Age\45-54 years old\"|"51 year old"|"DEM|AGE:51"
3|"\PCORI\DEMOGRAPHIC\RACE\01\"|"American indian or alaska native"|"N"|"LAE"||"RACE:01"|""|"PATIENT_NUM"|"PATIENT_DIMENSION"|"RACE_CD"|"T"|"IN"|"'01','amer. Indian','i','na','nat. am'"|""|"American Indian or Alaska Native; A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment."|"@"|2001/01/01 12:00:00 AM|2001/01/01 12:00:00 AM|2001/01/01 12:00:00 AM|"PCORNET_CDM"|""|""|"\PCORI\DEMOGRAPHIC\RACE\"|"01"|"01"
3|"\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\N\"|"No"|"N"|"LHE"||"BIOBANK_FLAG:N"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"@"|"like"|"\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\N\"|""|"No"|"@"|2014/06/05 12:00:00 AM|2014/06/05 12:00:00 AM|2014/06/05 12:00:00 AM|"PCORNET_CDM"|""|""|"\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\"|"N"|"BIOBANK_FLAG:N"
3|"\PCORI\DEMOGRAPHIC\HISPANIC\Y\"|"Hispanic"|"N"|"LAE"||"ETHNICITY:HISPANIC"|""|"PATIENT_NUM"|"PATIENT_DIMENSION"|"RACE_CD"|"T"|"IN"|"'hib','his/black','his/white','hiw','hispanic'"|""|"A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. \ Hisptanic"|"@"|2014/05/09 03:21:33 PM|2014/05/09 11:11:12 AM|2014/05/09 11:11:12 AM|"PCORNET_CDM"|""|""|"\PCORI\DEMOGRAPHIC\HISPANIC\"|"Y"|"Y"
3|"\PCORI\DEMOGRAPHIC\RACE\07\"|"Refuse to Answer"|"N"|"LAE"||"RACE:07"|""|"PATIENT_NUM"|"PATIENT_DIMENSION"|"RACE_CD"|"T"|"IN"|"'07','r','refused'"|""|"Refuse to Answer"|"@"|2001/01/01 12:00:00 AM|2001/01/01 12:00:00 AM|2001/01/01 12:00:00 AM|"PCORNET_CDM"|""|""|"\PCORI\DEMOGRAPHIC\RACE\"|"07"|"07"
