"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_BASECODE"
3|"\PCORI\VITAL\TOBACCO\02\"|"Non-Smoked Tobacco Status"|"N"|"CAE"||""|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\02\"|"CDMv2"|"In SCILHS, this field is for NON-SMOKED tobacco ONLY. The PCORnet spec uses this for any form of tobacco. This field is new to v2.0 with revised value set and field definition in v3.0."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\"|"02"|""
5|"\PCORI\VITAL\TOBACCO\SMOKING\YES\01\"|"Current Every Day Smoker"|"N"|"LAE"||"SMOKING:01"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\01\"|"CDMv2"|"Current every day smoker  is an individual who has smoked at least 100 cigarettes during his/her lifetime and still regularly smokes every day."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"01"|"01"
5|"\PCORI\VITAL\TOBACCO\SMOKING\YES\02\"|"Current Some Day Smoker"|"N"|"LAE"||"SMOKING:02"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\02\"|"CDMv2"|"Current some day smoker s an individual who has smoked at least 100 cigarettes during his/her lifetime and still regularly smokes periodically, yet consistently."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"02"|"02"
4|"\PCORI\VITAL\TOBACCO\SMOKING\03\"|"Former Smoker"|"N"|"LAE"||"SMOKING:03"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\03\"|"CDMv2"|"Former smoker: an individual who has smoked at least 100 cigarettes during his/her lifetime but does not currently smoke."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\"|"03"|"03"
4|"\PCORI\VITAL\TOBACCO\SMOKING\04\"|"Never Smoker"|"N"|"LAE"||"SMOKING:04"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\04\"|"CDMv2"|"Never smoker: an individual who has not smoked 100 or more cigarettes during his/her lifetime."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\"|"04"|"04"
5|"\PCORI\VITAL\TOBACCO\SMOKING\YES\05\"|"Smoker, Current Status Unknown"|"N"|"LAE"||"SMOKING:05"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\05\"|"CDMv2"|"Smoker, current status unknown. Meaningful Use guidance indicates that this should be used where the individual was a smoker at the time this data was recorded but frequency was not known."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"05"|"05"
4|"\PCORI\VITAL\TOBACCO\SMOKING\06\"|"Unknown If Ever Smoked"|"N"|"LHE"||"SMOKING:06"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\06\"|"CDMv2"|"Unknown if ever smoked"|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\"|"06"|"06"
5|"\PCORI\VITAL\TOBACCO\SMOKING\YES\07\"|"Heavy Tobacco Smoker"|"N"|"LAE"||"SMOKING:07"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\07\"|"CDMv2"|"Heavy tobacco smoker is interpreted to mean greater than 10 cigarettes per day or an equivalent (but less concretely defined) quantity of cigar or pipe smoke."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"07"|"07"
5|"\PCORI\VITAL\TOBACCO\SMOKING\YES\08\"|"Light Tobacco Smoker"|"N"|"LAE"||"SMOKING:08"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\08\"|"CDMv2"|"Light tobacco smoker is interpreted to mean less than 10 cigarettes per day, or an equivalent (but less concretely defined) quantity of cigar or pipe smoke. "|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"08"|"08"
4|"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"Current Smoker"|"N"|"FAE"||"SMOKING:YES"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\VITAL\TOBACCO\SMOKING\YES\"|"CDMv2"|"All types of current smoker: an individual who has smoked at least 100 cigarettes during his/her lifetime and currently smokes."|"@"|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|2015/08/17 03:53:15 PM|"PCORNET_CDM"|||"\PCORI\VITAL\TOBACCO\SMOKING\"|"YES"|"YES"
