"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_SPECIMEN_SOURCE"|"PCORI_BASECODE"
1|"\PCORI\LAB_RESULT_CM\"|"Lab Results"|"N"|"CAE"|133|""|"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>04/09/2009 18:44:16</CreationDateTime><TestID>GHBA1C</TestID><TestName>GHBA1C (Group:GHBA1C)</TestName><DataType>PosFloat</DataType><CodeType>GRP</CodeType><Loinc>17856-6</Loinc><Loinc>4548-4</Loinc><Loinc>4549-2</Loinc><Flagstouse>HL</Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength></MaxStringLength><LowofLowValue>3.5</LowofLowValue><HighofLowValue>4.7</HighofLowValue><LowofHighValue>5.7</LowofHighValue><HighofHighValue>6.5</HighofHighValue><LowofToxicValue></LowofToxicValue><HighofToxicValue></HighofToxicValue><EnumValues></EnumValues><CommentsDeterminingExclusion><Com></Com></CommentsDeterminingExclusion><UnitValues><NormalUnits>%</NormalUnits><EqualUnits>%</EqualUnits><ExcludingUnits></ExcludingUnits><ConvertingUnits><Units></Units><MultiplyingFactor></MultiplyingFactor></ConvertingUnits></UnitValues><Analysis><Enums /><Counts /><New /></Analysis></ValueMetadata>"|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\"|"CDMv2"|"LAB_RESULT_CM "|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\"|"LAB_RESULT_CM"|""|""
2|"\PCORI\LAB_RESULT_CM\ABN_IND\"|"Abn Ind"|"N"|"FHE"|0||""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\"|"CDMv2"|"Abnormal result indicator. This value comes from the source data; do not apply logic to create it."|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\"|"ABN_IND"|""|
3|"\PCORI\LAB_RESULT_CM\ABN_IND\AB\"|"Abnormal"|"N"|"LHE"|0|"ABN_IND|AB:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\AB\"|"CDMv2"|"Abnormal"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"AB"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\AH\"|"Abnormally High"|"N"|"LHE"|0|"ABN_IND|AH:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\AH\"|"CDMv2"|"Abnormally high"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"AH"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\AL\"|"Abnormally Low"|"N"|"LHE"|0|"ABN_IND|AL:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\AL\"|"CDMv2"|"Abnormally low"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"AL"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\CH\"|"Critically High"|"N"|"LHE"|0|"ABN_IND|CH:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\CH\"|"CDMv2"|"Critically high"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"CH"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\CL\"|"Critically Low"|"N"|"LHE"|0|"ABN_IND|CL:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\CL\"|"CDMv2"|"Critically low"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"CL"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\CR\"|"Critical"|"N"|"LHE"|0|"ABN_IND|CR:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\CR\"|"CDMv2"|"Critical"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"CR"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\IN\"|"Inconclusive"|"N"|"LHE"|0|"ABN_IND|IN:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\IN\"|"CDMv2"|"Inconclusive"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"IN"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\NI\"|"zz No Information"|"N"|"LHE"|0|"ABN_IND|NI:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\NI\"|"CDMv2"|"No information: A data field is present in the source system, but the source value is null or blank."|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"NI"|""|""
3|"\PCORI\LAB_RESULT_CM\ABN_IND\NL\"|"Normal"|"N"|"LHE"|0|"ABN_IND|NL:"|""|"concept_cd"|"CONCEPT_DIMENSION"|"concept_path"|"T"|"like"|"\PCORI\LAB_RESULT_CM\ABN_IND\NL\"|"CDMv2"|"Normal"|"@"|2015/05/27 05:32:53 PM|2015/05/27 05:35:29 PM|2015/05/27 05:35:29 PM|"PCORNET_CDM"|||"\PCORI\LAB_RESULT_CM\ABN_IND\"|"NL"|""|""
